project,path,size_bytes,sha256,extension,category
qeeg-64ch-research,projects/qeeg-64ch-research/README.md,2443,b2cc4137d0cf5a58591285e04dcede9f0afc9274327fd58d1ac1ab228e7e14ea,.md,documentation
qeeg-64ch-research,projects/qeeg-64ch-research/pyproject.toml,589,8cd7752047d7051322de29c0c0a79d911dc6b66343e864b865ac694fcf94e0c4,.toml,configuration-or-contract
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/__init__.py,251,a6474520bac9c0fc7f1782faf555a83a5ab0f5b727cd6917b0b1dbc5374e70b0,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/__main__.py,846,659439a4910f69589294e34dbf88aa8e9b7bfd6646f4909d1bf4f03ce151cdef,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/aperiodic.py,1980,094a9c51109f1d6a2ea45afb1cb1c850d45d5158d2da681b3767afd4ef6fd053,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/complexity.py,4176,4bcbddda42d5bd086edb7a769d5ce865ce7f9d5276e60061654b9532d09e92d6,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/connectivity.py,5512,fe01762f200842f6e38b97840127d026fdfb3bad6e9b036fd0c6a56139323f2e,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/coupling.py,4501,6b61371db3c0a22a605be83910f42477af947d3f6a619f2a799f9be0580f0dc1,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/expanded_report.py,163979,23f998456e6276484c57863ce365ae903ae6c5e78e4e2ef8924f152a149f5ce8,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/gfp.py,15233,08c8bc2c321abf821afca3206b93a2797fdab8ff37aa74d38f5bec2197be2dd9,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/historical_exports.py,56002,5388916404e00257b044a89f7f0a0e863606a3c34f0ab84f385a61ca1ecdc08c,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/io.py,2165,8beacde130eca8811b439ef790cb2309924ef926ba7feb10ec11569b45f42f91,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/microstates.py,70477,0af660406d14e76eafd7b3d22122fb1835c7825d1b1b83a74c66dec2388cd3da,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/pipeline.py,4965,02ee7d301133e7f8e89dfb14ed33549db7fe468a80a7a477585de81d426368a6,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/preprocess.py,2261,fcad4f556185c1d9196c2794f9935ef15964e2c908b2ed20bcbd16327d1f5860,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/qc.py,18733,f5389dd2e383afae9e140b86fa71ae9450b422b7820f5ff6f68a58eda8650d44,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/registry.py,1823,dbff01463dd702d0c51b5a3e914584e9cd7f4f41a87286a2301de2523b9d4a33,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/report.py,39534,02226bf1a0b68274a46a6ba01aaef0a6aa8126c56435ce8b83032310516f3a86,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/spatial.py,1078,160802a0be8067dc990f9f695f02f553371258a3e22ba9477ad9afd68c640583,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/spectral.py,33183,4d9beb61a734e11b713d0ee45d69b8188a6caff66424f5d3e464825e3f9465b1,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64_recovery.egg-info/PKG-INFO,564,9727af1e4b1043d3cccce7511566ec01c2e75ce143e0ad2c25298c796a109d1a,,other
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64_recovery.egg-info/SOURCES.txt,776,285e07f074eff0cde9e711b1c630f21ccb450708a41ed12158cd02e5da7fea82,.txt,documentation
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64_recovery.egg-info/dependency_links.txt,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,.txt,documentation
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64_recovery.egg-info/requires.txt,150,06b40bd0267ab3a0bfc71ab06211c797fbabf3743c35ab6e62bde563b58b9db4,.txt,documentation
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64_recovery.egg-info/top_level.txt,17,157178a87654fef82de3c835c364f6ab239e5c6dfd66688a0b7ad9d17f4e7efe,.txt,documentation
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_alpha_spectral_dispersion.py,4875,88cc2c475ea301c2265a45a16e46598000d3f1a03d5a292432189602945e75d8,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_expanded_report_microstate_information.py,10597,89f876fef7ab2f2a5587413addfbfdcfcc732aae212171e7b955e84a77ffee02,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_gfp_peak_export.py,1913,40e4616b4b8ea7db23432ba6c80c0ffee7688ca5757e29c8a414815542ff1b1e,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_gfp_retained_intervals.py,6935,0f746dd7fa3720c35faf13a65ee354165bb28f043920ba89d24de5ae3d2e179d,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_historical_exports_contract.py,11546,120afbc1314d6d0c6ddf28f7bb296b9142cc1af0188789f98ddb919a9ebaea94,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_microstate_information.py,4797,27341dc0dad491d5215964808285e7a4ac9abae68e14b247f7e1be2651c6b4f2,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_microstate_sequence_dynamics.py,11343,b29b7b51bf95f055b114889830853b6f878e08dce50a5a6abe18193fa58b9712,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_microstate_sequence_exports.py,5396,b99d7f7e1341be69f85fa2101a86aadac9fee309202962aebfdc30240b6aa028,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_qc_source_time_mapping.py,3418,83880227a7faa11959587bbc0024afaebeff6d301359d15dbdf6f755f684003b,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_recovered_methods.py,2929,a77ddda7ece33532f0b714d5733640e4045e972adbf2fb4aa74367b896a07de9,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_report_contract.py,1665,a43ec0e5263c447e88979e02ea8a921a4382ab963a90a2a56282db3658e27054,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_report_qc_config.py,1526,44fd2178c22995da7e989d536b175e2e2998d6d5a58587f6a5b0a03e81cbba92,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_saved_microstate_upgrade.py,11353,282b6f51a45f2c236c10ce0583ea96fdadd3762d33f7b5c96132630952d69380,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_saved_report_refresh.py,24548,a382466b74e2b8a757c34c6e1971a20b539dda09ef17415a265324d1af350cbf,.py,source
qeeg-64ch-research,projects/qeeg-64ch-research/tests/test_spectral_recovery.py,2088,f0fafcf50ee7beb3e872d4fa500cf60692e8c3440db3c6dbb07b8a790cdb6d32,.py,source
spike-analysis,projects/spike-analysis/README.md,1640,7e50bbd4aed57f60b5923bc0eb61a385e44e50940df1128d4ed71978938a5416,.md,documentation
spike-analysis,projects/spike-analysis/__init__.py,312,9949bdfc749b87889afc037fa4f7c7c4c32b7aa4c8cecbd9b114a5448d7f77aa,.py,source
web-main,projects/web-main/.agents/skills/qlanalyser-clean-code-quality-gate/SKILL.md,4308,a0110c9b675c4e451ace3b25a0c3529ab64574e41f2a1e8b7cb8ddefae5d39c4,.md,documentation
web-main,projects/web-main/.agents/skills/qlanalyser-close-chat-handoff/SKILL.md,4660,e0073cbe40743ba4ddb203ee4ac1ff65ffaf0f3ddf0e8261189105dd10e89a85,.md,documentation
web-main,projects/web-main/.agents/skills/qlanalyser-continue-project-context/SKILL.md,2998,28326c3908218445758876826885a1a7ddbda2eb6c78e5fa7d703d63c6ac1d98,.md,documentation
web-main,projects/web-main/.agents/skills/qlanalyser-conversation-sync/SKILL.md,4608,1b30bc7815216b2071b9bb719b7d76ab31173217a32de25ce69453e1f9f34a93,.md,documentation
web-main,projects/web-main/.agents/skills/qlanalyser-git-guard/SKILL.md,3269,db942d516a60e5e085a3a85389da967f311b73f789daf44c66042ff9ed72fc3f,.md,documentation
web-main,projects/web-main/.agents/skills/qlanalyser-github-baseline-sync/SKILL.md,5843,c1683faba771d6e2289131a7ea6a53984a49769f48395ed6ac5ea62ae4fc5935,.md,documentation
