project,path,symbol,kind,line,detail
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/__main__.py,main,function,10,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/aperiodic.py,AperiodicConfig,class,11,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/aperiodic.py,compute_aperiodic_spectrum,function,17,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/complexity.py,ComplexityConfig,class,13,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/complexity.py,compute_complexity,function,19,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/complexity.py,_channel_features,function,49,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/complexity.py,_multiscale_entropy_curve,function,60,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/complexity.py,_hurst_rs,function,71,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/complexity.py,_finite,function,87,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/connectivity.py,ConnectivityConfig,class,12,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/connectivity.py,compute_connectivity,function,17,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/connectivity.py,_epochs,function,37,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/connectivity.py,_analytic_band_epochs,function,42,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/connectivity.py,_metrics,function,48,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/connectivity.py,_summarize_matrix,function,75,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/connectivity.py,_region,function,91,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/connectivity.py,_pearson,function,104,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/coupling.py,CouplingConfig,class,12,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/coupling.py,compute_coupling,function,22,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/coupling.py,_analytic,function,52,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/coupling.py,_tort_mi,function,57,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/coupling.py,_phase_amplitude_curve,function,65,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/expanded_report.py,render_full_historical_report,function,44,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/expanded_report.py,_save,function,111,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/expanded_report.py,_scalp_info,function,117,
qeeg-64ch-research,projects/qeeg-64ch-research/src/qlanalyser_eeg64/expanded_report.py,_topomap,function,121,
