onset_s	duration_s	trial_type	value
2.0	0	target	2
2.85	0	standard	1
3.7	0	standard	1
4.55	0	standard	1
5.4	0	standard	1
6.25	0	target	2
7.1	0	standard	1
7.95	0	standard	1
8.8	0	standard	1
9.65	0	standard	1
10.5	0	target	2
11.35	0	standard	1
12.2	0	standard	1
13.05	0	standard	1
13.9	0	standard	1
14.75	0	target	2
15.6	0	standard	1
16.45	0	standard	1
17.3	0	standard	1
18.15	0	standard	1
19.0	0	target	2
19.85	0	standard	1
20.7	0	standard	1
21.55	0	standard	1
22.4	0	standard	1
23.25	0	target	2
24.1	0	standard	1
24.95	0	standard	1
25.8	0	standard	1
26.65	0	standard	1
27.5	0	target	2
28.35	0	standard	1
29.2	0	standard	1
30.05	0	standard	1
30.9	0	standard	1
31.75	0	target	2
32.6	0	standard	1
33.45	0	standard	1
34.3	0	standard	1
35.15	0	standard	1
36.0	0	target	2
36.85	0	standard	1
37.7	0	standard	1
38.55	0	standard	1
39.4	0	standard	1
40.25	0	target	2
41.1	0	standard	1
41.95	0	standard	1
42.8	0	standard	1
43.65	0	standard	1
44.5	0	target	2
45.35	0	standard	1
46.2	0	standard	1
47.05	0	standard	1
47.9	0	standard	1
48.75	0	target	2
49.6	0	standard	1
50.45	0	standard	1
51.3	0	standard	1
52.15	0	standard	1
53.0	0	target	2
53.85	0	standard	1
54.7	0	standard	1
55.55	0	standard	1
56.4	0	standard	1
57.25	0	target	2
