time_s,Fp1,Fz,Cz,Pz,P3,P4,O1,O2
0.0,-2.144,2.151,4.08,4.84,7.827,5.489,6.578,6.673
0.00390625,1.743,2.69,3.706,8.857,7.79,6.167,4.598,5.472
0.0078125,0.225,5.285,6.097,7.54,7.587,6.48,2.841,2.515
0.01171875,3.536,6.977,7.859,7.47,7.468,5.172,4.316,-1.862
0.015625,4.472,6.154,6.331,4.655,4.297,4.337,1.1,-2.659
0.01953125,6.266,6.95,5.13,5.461,5.762,1.512,-0.781,-2.052
0.0234375,7.685,5.69,5.991,4.659,2.825,0.783,-2.939,-6.863
0.02734375,6.593,4.895,3.635,0.658,3.969,1.27,-2.156,-6.729
0.03125,7.061,5.878,1.326,0.292,0.259,-2.686,-7.505,-7.31
0.03515625,6.338,2.053,0.647,-3.061,0.856,-4.182,-4.658,-5.562
0.0390625,3.751,2.834,-1.94,-2.839,-0.224,-2.563,-6.519,-5.966
0.04296875,3.695,3.843,-2.906,-5.908,-2.399,-5.93,-6.685,-9.075
0.046875,4.517,1.928,-2.512,-6.273,-2.199,-4.937,-7.656,-4.769
0.05078125,3.038,-0.074,-3.515,-6.099,-3.48,-5.587,-8.186,-2.623
0.0546875,0.875,-4.542,-5.607,-6.091,-6.039,-5.731,-5.398,0.201
0.05859375,0.163,-0.384,-3.943,-3.653,-6.159,-5.089,-3.414,1.203
0.0625,0.848,-2.983,-8.375,-3.819,-6.65,-5.084,-2.81,2.022
0.06640625,-1.682,-5.522,-5.548,-3.694,-7.163,-5.87,-0.466,3.44
0.0703125,-0.491,-3.575,-3.589,-2.833,-5.479,-5.181,2.259,7.187
0.07421875,-3.023,-6.827,-5.258,-1.613,-5.187,-3.684,5.248,4.79
0.078125,-2.215,-3.05,-4.761,0.355,-6.474,-1.485,4.825,6.196
0.08203125,-3.759,-5.018,-2.812,2.358,-7.08,1.535,5.435,5.787
0.0859375,-2.889,-5.863,-2.827,5.887,-5.78,1.716,6.703,5.242
0.08984375,-6.276,-3.994,-0.574,3.979,-4.166,2.985,8.31,4.179
0.09375,-8.22,-1.46,1.946,5.608,-2.581,6.348,5.602,5.539
0.09765625,-6.562,-2.627,3.112,6.808,-0.487,5.957,7.788,2.869
0.1015625,-5.142,-2.064,5.744,5.826,0.044,5.564,5.376,-0.945
0.10546875,-4.18,0.288,3.962,8.369,3.425,6.088,3.835,-1.593
0.109375,-4.475,3.932,7.137,3.816,4.479,6.343,3.884,-1.945
0.11328125,-2.685,3.086,6.309,2.971,3.992,4.976,1.995,-6.298
0.1171875,-4.591,3.112,7.928,0.893,7.235,5.728,1.71,-6.309
0.12109375,-1.639,4.544,4.755,-1.385,4.754,6.186,-2.08,-7.851
0.125,0.07,7.389,4.621,-2.846,7.407,4.371,-2.585,-5.875
0.12890625,1.956,5.287,3.506,-3.085,8.799,1.079,-4.829,-5.649
0.1328125,1.799,5.664,1.746,-6.228,6.028,0.75,-8.322,-10.423
0.13671875,2.303,4.977,1.241,-4.298,6.098,-1.887,-7.559,-4.271
0.140625,4.966,5.986,-1.933,-7.937,5.597,-2.497,-6.485,-4.815
0.14453125,4.487,5.385,-1.314,-7.588,3.491,-2.056,-7.967,-0.402
0.1484375,6.578,3.192,-3.051,-5.757,3.749,-3.851,-5.803,-0.005
0.15234375,4.612,2.057,-4.973,-6.032,1.056,-2.997,-7.225,3.787
0.15625,6.054,0.353,-4.256,-3.873,2.755,-5.536,-5.403,4.772
0.16015625,4.218,-0.37,-4.947,-2.233,-1.811,-7.343,-2.886,6.433
0.1640625,4.839,-1.948,-5.275,-0.396,-2.399,-6.333,0.712,8.924
0.16796875,5.38,-0.426,-5.409,-0.399,-0.868,-5.98,0.203,7.555
0.171875,4.858,-2.599,-5.388,1.118,-4.417,-6.771,2.037,3.707
