subject,band,eyes_closed_power_db,eyes_open_power_db,difference_db
sub-01,theta,8.55228,6.77701,1.77527
sub-01,alpha,9.53899,8.68221,0.85677
sub-01,beta,5.54723,4.99474,0.55249
sub-02,theta,7.64949,4.69870,2.95079
sub-02,alpha,8.41167,5.39290,3.01877
sub-02,beta,5.08004,2.48093,2.59911
sub-03,theta,9.58820,6.09239,3.49580
sub-03,alpha,11.33754,7.29843,4.03911
sub-03,beta,7.24584,4.54959,2.69625
sub-04,theta,9.01930,7.84198,1.17732
sub-04,alpha,10.23271,9.25469,0.97802
sub-04,beta,6.83456,5.06993,1.76463
sub-05,theta,8.31649,6.02458,2.29191
sub-05,alpha,9.76084,7.50633,2.25451
sub-05,beta,6.39750,4.56065,1.83685
sub-06,theta,9.85647,9.79596,0.06051
sub-06,alpha,11.41958,10.61283,0.80676
sub-06,beta,8.39726,9.16945,-0.77219
sub-07,theta,8.04367,7.06556,0.97811
sub-07,alpha,10.38602,8.42845,1.95757
sub-07,beta,7.21196,5.31710,1.89487
sub-08,theta,8.10456,5.30564,2.79891
sub-08,alpha,9.90829,7.03619,2.87210
sub-08,beta,5.78543,4.58527,1.20016
sub-09,theta,10.29422,7.13335,3.16087
sub-09,alpha,11.99856,9.04011,2.95845
sub-09,beta,7.90580,5.13461,2.77119
sub-10,theta,8.85830,5.75614,3.10215
sub-10,alpha,10.90850,7.25197,3.65652
sub-10,beta,7.31356,3.90587,3.40769
sub-11,theta,9.99150,7.30667,2.68483
sub-11,alpha,11.54067,7.42213,4.11854
sub-11,beta,7.98847,5.64611,2.34237
sub-12,theta,9.74170,9.04612,0.69558
sub-12,alpha,10.56877,9.97451,0.59426
sub-12,beta,8.12596,6.83481,1.29115
sub-13,theta,6.86751,5.24937,1.61814
sub-13,alpha,9.21961,5.68983,3.52978
sub-13,beta,5.77702,3.59917,2.17785
sub-14,theta,5.45685,4.12576,1.33108
sub-14,alpha,7.46420,5.23935,2.22484
sub-14,beta,3.29801,3.11038,0.18763
sub-15,theta,10.72338,9.23938,1.48400
sub-15,alpha,11.55310,10.14264,1.41046
sub-15,beta,7.23399,7.38287,-0.14888
sub-16,theta,7.08609,6.07568,1.01040
sub-16,alpha,8.44037,7.69752,0.74284
sub-16,beta,5.16076,4.55438,0.60638
sub-17,theta,9.58555,10.08765,-0.50210
sub-17,alpha,11.41511,10.97366,0.44145
sub-17,beta,8.76460,8.69765,0.06695
sub-18,theta,9.70688,7.03748,2.66939
sub-18,alpha,10.99270,9.89683,1.09587
sub-18,beta,7.14199,5.99570,1.14629
sub-19,theta,9.40661,7.07359,2.33302
sub-19,alpha,10.23971,8.43878,1.80092
sub-19,beta,7.44740,5.47873,1.96868
sub-20,theta,10.16016,7.25082,2.90934
sub-20,alpha,11.01027,7.67216,3.33811
sub-20,beta,7.58873,5.68194,1.90680
sub-21,theta,9.36546,7.86836,1.49710
sub-21,alpha,11.14002,9.09865,2.04137
sub-21,beta,6.78291,6.94097,-0.15807
sub-22,theta,11.28020,5.48601,5.79418
sub-22,alpha,12.71534,7.58443,5.13091
sub-22,beta,9.24942,4.70919,4.54023
sub-23,theta,7.66002,5.81016,1.84985
sub-23,alpha,8.58085,6.68642,1.89443
sub-23,beta,4.95128,3.94745,1.00384
sub-24,theta,8.60674,4.97729,3.62944
sub-24,alpha,10.33563,7.61534,2.72028
sub-24,beta,6.15372,3.65375,2.49997
